createTime|dependencyTime|personId|accountId|accountType|accountBlocked|nickname|phonenum|email|freqLoginType|lastLoginTime|accountLevel
1669691042376|1648723319502|21990232555853|4910612443694105302|merchant account|false|Kerry Oshea|627-0872|gmail.com|MAC|1746761883675|Basic level
1669693526541|1661872657573|26388279073504|4910612443694119677|merchant account|false|Normand Kuthe|225-0154|hotmail.com|WIFI|1728223995514|Gold level
1669693656271|1584796755004|2199023257173|4910612443694108152|escrow account|false|Merle Pilant|647-8560|zoho.com|RFID|1686096483551|Basic level
1669695011271|1669452548971|30786325578657|4910612443694106631|prepaid card|false|Bobbie Biskach|023-6770|operationivy.com|RFID|1692765842951|Basic level
1669695141615|1621141140324|13194139539051|4910612443694117191|credit card|false|Berry Hone|031-3188|gmx.com|RFID|1877466568378|Silver level
1669696804358|1652842297250|24189255818117|4910612443694120027|corporate account|false|Hugo Gechas|206-0652|zoho.com|WIFI|1729718923711|Basic level
1669697366617|1667502004015|28587302328654|4910612443694118766|foreign currency|false|Merle Lamendola|941-0064|gmail.com|PHONE|1706224085948|Basic level
1669699505125|1650566325936|24189255815099|4910612443694113431|certificate of deposit|false|Lavon Meteer|942-1172|gmail.com|IPv4|1879015938066|Basic level
1669700287908|1658908142596|26388279071652|4910612443694115611|brokerage account|false|Archie Lowy|213-8937|gmx.com|MAC|1669926555822|Basic level
1669702476188|1668577146141|28587302325902|4910612443694112797|prepaid card|true|Kati Flosi|313-3256|gmx.com|ATM|1849819921316|Basic level
1669705686898|1658465942329|26388279071162|4910612443694114553|certificate of deposit|false|Horacio Takala|503-4736|lebanese.cc|WIFI|1824866568536|Basic level
1669714428531|1580792157815|1420|4910612443694107698|escrow account|false|Mercy Graen|876-6098|yahoo.com|WIFI|1817121191268|Basic level
1669714785774|1664954582374|28587302323362|4910612443694107205|prepaid card|false|Brain Karakas|576-3159|yahoo.com|PHONE|1749920949750|Silver level
1669715988884|1647065837764|21990232556549|4910612443694106855|escrow account|false|Jeannie Keisler|285-2088|gmail.com|IPv6|1842080146760|Basic level
1669716468831|1645756380426|21990232562179|4910612443694119171|escrow account|false|Cordie Rollf|241-5207|gmail.com|QRCode|1700930469782|Silver level
1669718169038|1669027264752|28587302327866|4910612443694117092|certificate of deposit|false|Twila Bouer|754-7344|yahoo.com|MAC|1775816098085|Silver level
1669719919440|1662422757059|26388279067742|4910612443694107069|merchant account|false|Teodoro Garitty|384-5171|yahoo.com|WIFI|1888262627059|Gold level
1669721169460|1665252687368|28587302322496|4910612443694105274|retirement account|false|Michal Lupul|034-7619|hotmail.com|QRCode|1828506476163|Basic level
1669721632299|1583631704969|250|4910612443694105101|retirement account|false|Tyra Reuben|170-0517|hotmail.com|QRCode|1766755286705|Basic level
1669725821286|1631406357478|17592186048977|4910612443694114604|debit card|false|Roderick Yunt|671-9640|gmail.com|RFID|1795972661565|Basic level
1669726365976|1667636994123|28587302327769|4910612443694116901|credit card|false|Wanita Woodrow|397-0509|yahoo.com|IPv4|1838950837155|Basic level
