createTime|dependencyTime|companyId|accountId|accountType|accountBlocked|nickname|phonenum|email|freqLoginType|lastLoginTime|accountLevel
1669714600825|1655339216441|12094627905617|298926425266716847|corporate account|false|Lyle Przybyla|368-7278|gmail.com|PHONE|1805233506561|Gold level
1669722307437|1640657433307|9895604650008|298926425266716724|certificate of deposit|false|Gina Vopava|446-4521|hotmail.com|NFC|1825820658858|Silver level
1669731554401|1610626100398|5497558138886|298926425266716687|merchant account|false|Duncan Daddio|253-2044|yahoo.com|IPv4|1670188796305|Silver level
1669786969420|1591384880235|2199023255701|299207900243427656|foreign currency|false|Glenn Munce|937-1020|gmail.com|QRCode|1743893835267|Basic level
1669827421664|1631859490300|8796093022370|299207900243427679|escrow account|false|Aubrey Hechmer|669-4828|yahoo.com|MAC|1806173411926|Basic level
1669884414484|1622564446198|6597069766983|299489375220138673|merchant account|false|Melba Gregoroff|465-3027|yahoo.com|RFID|1719446962336|Platinum level
1669895994305|1653080162454|12094627905692|299489375220138327|escrow account|false|Jody Chautin|267-5157|yahoo.com|QRCode|1842038392920|Basic level
1669904218085|1668660810757|14293651161356|299489375220138555|merchant account|false|Matilde Palardy|513-5513|gmx.com|IPv6|1672224923313|Basic level
1669923724789|1667501755025|14293651161154|299489375220138132|credit card|false|Romona Bownds|651-4415|yahoo.com|POS|1838008021419|Basic level
1669988844329|1661484093806|13194139533495|299770850196849027|brokerage account|false|Idell Gallup|478-5073|gmx.com|IPv4|1844691202536|Basic level
1669992705293|1646936203371|10995116278128|299770850196849427|brokerage account|false|Doretha Raniero|071-1204|gmx.com|POS|1854720393334|Gold level
1670001763958|1667989850211|14293651161300|299770850196849079|prepaid card|false|Magdalena Hollon|631-7142|hotmail.com|ATM|1875303972735|Basic level
1670035708625|1668878351608|14293651161291|300052325173559714|prepaid card|false|Millicent Leagjeld|903-9622|gmail.com|POS|1849450718497|Silver level
1670131910566|1613927258064|5497558139109|300333800150270434|foreign currency|false|Lindsay Grzesiak|239-7419|gmail.com|MAC|1888229497803|Silver level
1670182208720|1646696985452|10995116278109|300333800150270696|brokerage account|false|Michale Beedle|378-9094|gmx.com|IPv6|1707647670045|Basic level
1670200344883|1668647754105|14293651161172|300615275126980793|internet account|false|Edgardo Augsburger|275-4847|gmail.com|QRCode|1850742318820|Basic level
1670207203229|1612031923734|5497558139096|300615275126981055|brokerage account|false|Anibal Eichner|081-2872|gmx.com|PHONE|1772520260040|Platinum level
1670214085522|1610088332029|4398046511194|300615275126980804|corporate account|false|Rocco Raspa|938-2900|hotmail.com|WIFI|1677764960263|Silver level
1670233374344|1626278289167|7696581394748|300615275126981274|retirement account|false|Rudy Privett|031-9155|gmail.com|POS|1724549985344|Basic level
1670267006493|1615765971240|5497558138929|300615275126980715|foreign currency|false|Alfred Copeman|400-5812|gmail.com|WIFI|1671486011354|Gold level
1670307368932|1670098751957|15393162789108|300896750103691781|merchant account|false|Albert Beteta|845-8109|gmail.com|ATM|1789147566419|Basic level
1670342518490|1667498755565|14293651161467|300896750103692072|certificate of deposit|false|Edmundo Coder|014-1075|yahoo.com|RFID|1741152674213|Basic level
1670356615424|1593335349121|2199023255912|300896750103692029|merchant account|true|Samantha Haley|652-3186|gmail.com|PHONE|1684518762013|Basic level
1670371075797|1651928996313|12094627905864|301178225080402613|custodial account|false|Edgar Hohler|087-5806|yahoo.com|IPv6|1887596058345|Platinum level
1670375059859|1665890706242|14293651161358|301178225080402494|trust account|false|Eve Lowell|963-0772|yahoo.com|NFC|1770348480278|Basic level
1670436528545|1669020072965|14293651161232|301178225080402240|internet account|false|Rudy Haeber|736-3478|gmail.com|MAC|1671426671321|Basic level
1670445389287|1670425832410|15393162789077|301178225080402360|custodial account|false|Dewitt Zenker|736-4492|lubnan.cc|QRCode|1734307935726|Basic level
1670450734603|1654048399127|12094627905818|301178225080402513|certificate of deposit|true|Kelley Alrich|936-5849|gmail.com|IPv6|1759141340172|Basic level
1670478771885|1587711644082|1099511627969|301459700057112976|trust account|false|Erwin Sabater|927-1098|yahoo.com|WIFI|1880922685989|Silver level
1670480316960|1669735290506|15393162788918|301459700057112698|escrow account|false|Beckie Osbourn|557-1301|gmail.com|NFC|1670977861089|Basic level
1670521515810|1653622865595|12094627905797|301459700057113130|brokerage account|false|Al Norrid|815-9553|gmail.com|WIFI|1786222818809|Silver level
1670540985984|1658038047825|13194139533678|301459700057113359|escrow account|false|Liberty Searing|899-0209|yahoo.com|WIFI|1870769329488|Basic level
1670541902418|1651021195055|12094627905746|301459700057113012|credit card|false|Cordell Otis|617-5940|gmail.com|MAC|1746721987976|Silver level
1670561377199|1670433237170|15393162789205|301741175033823951|foreign currency|false|Marcie Blache|986-8844|yahoo.com|PHONE|1671408153217|Silver level
1670566125321|1665043171872|14293651161377|301741175033823839|escrow account|false|Jerry Fellman|530-9291|gmail.com|IPv6|1837278563668|Basic level
1670600804525|1650970220574|12094627905710|301741175033823603|brokerage account|false|Juana Shebby|278-9236|yahoo.com|RFID|1678609629967|Silver level
1670604819868|1665181501889|14293651161423|301741175033823939|internet account|false|Ginette Eisenhardt|739-6070|yahoo.com|PHONE|1670650783124|Basic level
1670647796799|1619881830555|6597069766819|302022650010534240|prepaid card|false|Wes Burner|388-5618|gmail.com|IPv6|1691051345208|Basic level
1670672657898|1614648350360|5497558139129|302022650010534413|retirement account|false|Tyra Reuben|170-0517|hotmail.com|QRCode|1767293373854|Basic level
1670680487669|1670106959064|15393162789068|302022650010534310|escrow account|false|Gerry Kaeser|208-5931|gmail.com|POS|1671704760284|Basic level
1670714924885|1668980252514|14293651161204|302022650010534142|debit card|false|Emelda Chipps|920-7806|zoho.com|RFID|1720213376386|Basic level
1670737217842|1629111907256|7696581394815|302304124987245367|corporate account|false|Ronnie Azzopardi|896-9952|gmail.com|WIFI|1731826466976|Basic level
1670775355271|1670106959064|15393162789068|302304124987244965|foreign currency|false|Irwin Hinley|930-2417|gmail.com|ATM|1671134739246|Basic level
1670777010699|1591384880235|2199023255701|302304124987244873|prepaid card|false|Sigrid Goodpaster|870-1344|gmail.com|ATM|1718844500604|Basic level
1670801467235|1605288969911|4398046511155|302304124987244658|credit card|false|Melva Visconti|265-1310|gmail.com|ATM|1761104326713|Gold level
1670828440238|1667498755565|14293651161467|302585599963956006|brokerage account|false|Liliana Padamadan|422-8291|gmx.com|ATM|1817331671271|Gold level
1670844710794|1652623638093|12094627905931|302585599963956050|certificate of deposit|false|Dannette Fleeting|732-4281|gmail.com|NFC|1787191443545|Basic level
1670899853885|1667061690236|14293651161315|302867074940666332|trust account|false|Brent Patout|653-4295|gmail.com|POS|1870484143274|Silver level
1671036393790|1625452969305|7696581394664|303148549917377005|brokerage account|false|Belva Linebarger|423-5316|gmail.com|RFID|1795796904923|Basic level
1671041773447|1625452969305|7696581394664|303148549917377004|retirement account|false|Kelly Sawdey|785-7598|gmx.com|RFID|1754286086146|Basic level
1671062242067|1628521996994|7696581394552|303430024894087429|merchant account|false|Minnie Rigley|910-1689|zoho.com|MAC|1671224355914|Basic level
1671071498028|1657683820397|13194139533450|303430024894087470|internet account|false|Marc Bertolino|239-4896|gmx.com|WIFI|1671842280594|Silver level
